seqID,clusterid,gene,allele,cluster_contains_multiple_genes,gene_found_in_multiple_clusters,idInFile,symbol,class,accession,positions,size,Lahey,Bla_Class
941,205,TEM-1D_Bla,TEM-88,no,no,Bla___TEM-88___AY027590___113-973___861,TEM-88,Bla,AY027590,113-973,861,class A extended-spectrum beta-lactamase TEM-88,Bla_ESBL
942,205,TEM-1D_Bla,TEM-89,no,no,Bla___TEM-89___AY039040___189-1022___861,TEM-89,Bla,AY039040,189-1022,861,inhibitor-resistant class A extended-spectrum beta-lactamase TEM-89,Bla_ESBL_inhR
943,205,TEM-1D_Bla,TEM-90,no,no,Bla___TEM-90___AF351241___90-950___861,TEM-90,Bla,AF351241,90-950,861,class A broad-spectrum beta-lactamase TEM-90,Bla_broad
944,205,TEM-1D_Bla,TEM-91,no,no,Bla___TEM-91___AB049569___1-861___861,TEM-91,Bla,AB049569,1-861,861,class A extended-spectrum beta-lactamase TEM-91,Bla_ESBL
945,205,TEM-1D_Bla,TEM-92,no,no,Bla___TEM-92___AF143804___1-861___861,TEM-92,Bla,AF143804,1-861,861,class A extended-spectrum beta-lactamase TEM-92,Bla_ESBL
946,205,TEM-1D_Bla,TEM-93,no,no,Bla___TEM-93___AJ318093___1-861___861,TEM-93,Bla,AJ318093,1-861,861,class A extended-spectrum beta-lactamase TEM-93,Bla_ESBL
947,205,TEM-1D_Bla,TEM-94,no,no,Bla___TEM-94___AJ318094___1-861___861,TEM-94,Bla,AJ318094,1-861,861,class A extended-spectrum beta-lactamase TEM-94,Bla_ESBL
948,205,TEM-1D_Bla,TEM-95,no,no,Bla___TEM-95___AJ308558___124-1084___861,TEM-95,Bla,AJ308558,124-1084,861,class A broad-spectrum beta-lactamase TEM-95,Bla_broad
949,205,TEM-1D_Bla,TEM-96,no,no,Bla___TEM-96___AY092401___1-861___861,TEM-96,Bla,AY092401,1-861,861,class A beta-lactamase TEM-96,Bla
950,205,TEM-1D_Bla,TEM-97,no,no,Bla___TEM-97___AF397066___1-861___861,TEM-97,Bla,AF397066,1-861,861,class A beta-lactamase TEM-97,Bla
951,205,TEM-1D_Bla,TEM-98,no,no,Bla___TEM-98___AF397067___1-861___861,TEM-98,Bla,AF397067,1-861,861,class A beta-lactamase TEM-98,Bla
952,205,TEM-1D_Bla,TEM-99,no,no,Bla___TEM-99___AF397066___1-861___861,TEM-99,Bla,AF397066,1-861,861,class A beta-lactamase TEM-99,Bla
953,205,TEM-1D_Bla,TEM-101,no,no,Bla___TEM-101___AF495873___1-861___861,TEM-101,Bla,AF495873,1-861,861,class A extended-spectrum beta-lactamase TEM-101,Bla_ESBL
954,205,TEM-1D_Bla,TEM-102,no,no,Bla___TEM-102___AY029354___3-833___831,TEM-102,Bla,AY029354,3-833,831,NA,NA
955,205,TEM-1D_Bla,TEM-104,no,no,Bla___TEM-104___AF516719___215-1075___861,TEM-104,Bla,AF516719,215-1075,861,class A beta-lactamase TEM-104,Bla
956,205,TEM-1D_Bla,TEM-105,no,no,Bla___TEM-105___AF516720___215-1075___861,TEM-105,Bla,AF516720,215-1075,861,class A beta-lactamase TEM-105,Bla
957,205,TEM-1D_Bla,TEM-106,no,no,Bla___TEM-106___AY101578___215-1075___861,TEM-106,Bla,AY101578,215-1075,861,class A extended-spectrum beta-lactamase TEM-106,Bla_ESBL
958,205,TEM-1D_Bla,TEM-107,no,no,Bla___TEM-107___AY101764___207-1067___861,TEM-107,Bla,AY101764,207-1067,861,class A extended-spectrum beta-lactamase TEM-107,Bla_ESBL
959,205,TEM-1D_Bla,TEM-108,no,no,Bla___TEM-108___AF506748___39-899___861,TEM-108,Bla,AF506748,39-899,861,class A beta-lactamase TEM-108,Bla
960,205,TEM-1D_Bla,TEM-109,no,no,Bla___TEM-109___AY628175___211-1071___861,TEM-109,Bla,AY628175,211-1071,861,inhibitor-resistant class A extended-spectrum beta-lactamase TEM-109,Bla_ESBL_inhR
961,205,TEM-1D_Bla,TEM-110,no,no,Bla___TEM-110___AY130283___1-785___785,TEM-110,Bla,AY130283,1-785,785,class A broad-spectrum beta-lactamase TEM-110,Bla_broad
962,205,TEM-1D_Bla,TEM-111,no,no,Bla___TEM-111___AF468003___1-861___861,TEM-111,Bla,AF468003,1-861,861,class A beta-lactamase TEM-111,Bla
963,205,TEM-1D_Bla,TEM-112,no,no,Bla___TEM-112___AY589493___167-1027___861,TEM-112,Bla,AY589493,167-1027,861,class A extended-spectrum beta-lactamase TEM-112,Bla_ESBL
964,205,TEM-1D_Bla,TEM-113,no,no,Bla___TEM-113___AY589494___194-1054___861,TEM-113,Bla,AY589494,194-1054,861,class A extended-spectrum beta-lactamase TEM-113,Bla_ESBL
965,205,TEM-1D_Bla,TEM-114,no,no,Bla___TEM-114___AY589495___182-1042___861,TEM-114,Bla,AY589495,182-1042,861,class A extended-spectrum beta-lactamase TEM-114,Bla_ESBL
966,205,TEM-1D_Bla,TEM-115,no,no,Bla___TEM-115___AF535127___209-1069___861,TEM-115,Bla,AF535127,209-1069,861,class A extended-spectrum beta-lactamase TEM-115,Bla_ESBL
967,205,TEM-1D_Bla,TEM-116,no,no,Bla___TEM-116___AY425988___6-866___861,TEM-116,Bla,AY425988,6-866,861,class A broad-spectrum beta-lactamase TEM-116,Bla_broad
968,205,TEM-1D_Bla,TEM-117,no,no,Bla___TEM-117___AY130282___1-764___764,TEM-117,Bla,AY130282,1-764,764,class A beta-lactamase TEM-117,Bla
969,205,TEM-1D_Bla,TEM-118,no,no,Bla___TEM-118___AY130285___1-785___785,TEM-118,Bla,AY130285,1-785,785,class A extended-spectrum beta-lactamase TEM-118,Bla_ESBL
970,205,TEM-1D_Bla,TEM-120,no,no,Bla___TEM-120___AY243512___209-1069___861,TEM-120,Bla,AY243512,209-1069,861,class A extended-spectrum beta-lactamase TEM-120,Bla_ESBL
971,205,TEM-1D_Bla,TEM-121,no,no,Bla___TEM-121___AY307374___1-861___861,TEM-121,Bla,AY307374,1-861,861,inhibitor-resistant class A extended-spectrum beta-lactamase TEM-121,Bla_ESBL_inhR
972,205,TEM-1D_Bla,TEM-122,no,no,Bla___TEM-122___AY307100___1-861___861,TEM-122,Bla,AY307100,1-861,861,inhibitor-resistant class A broad-spectrum beta-lactamase TEM-122,Bla_broad_inhR
973,205,TEM-1D_Bla,TEM-123,no,no,Bla___TEM-123___AY327539___1-858___858,TEM-123,Bla,AY327539,1-858,858,class A extended-spectrum beta-lactamase TEM-123,Bla_ESBL
974,205,TEM-1D_Bla,TEM-124,no,no,Bla___TEM-124___AY327540___1-858___858,TEM-124,Bla,AY327540,1-858,858,class A extended-spectrum beta-lactamase TEM-124,Bla_ESBL
975,205,TEM-1D_Bla,TEM-125,no,no,Bla___TEM-125___AY628176___76-936___861,TEM-125,Bla,AY628176,76-936,861,inhibitor-resistant class A extended-spectrum beta-lactamase TEM-125,Bla_ESBL_inhR
976,205,TEM-1D_Bla,TEM-126,no,no,Bla___TEM-126___AY628199___204-1064___861,TEM-126,Bla,AY628199,204-1064,861,class A extended-spectrum beta-lactamase TEM-126,Bla_ESBL
977,205,TEM-1D_Bla,TEM-127,no,no,Bla___TEM-127___AY368236___1-861___861,TEM-127,Bla,AY368236,1-861,861,class A broad-spectrum beta-lactamase TEM-127,Bla_broad
978,205,TEM-1D_Bla,TEM-128,no,no,Bla___TEM-128___AY359287___186-1046___861,TEM-128,Bla,AY359287,186-1046,861,class A broad-spectrum beta-lactamase TEM-128,Bla_broad
979,205,TEM-1D_Bla,TEM-129,no,no,Bla___TEM-129___AY452662___184-1044___861,TEM-129,Bla,AY452662,184-1044,861,class A extended-spectrum beta-lactamase TEM-129,Bla_ESBL
980,205,TEM-1D_Bla,TEM-130,no,no,Bla___TEM-130___AJ866988___1-861___861,TEM-130,Bla,AJ866988,1-861,861,class A extended-spectrum beta-lactamase TEM-130,Bla_ESBL
981,205,TEM-1D_Bla,TEM-131,no,no,Bla___TEM-131___AY436361___132-992___861,TEM-131,Bla,AY436361,132-992,861,class A extended-spectrum beta-lactamase TEM-131,Bla_ESBL
982,205,TEM-1D_Bla,TEM-132,no,no,Bla___TEM-132___AY491682___1-861___861,TEM-132,Bla,AY491682,1-861,861,class A extended-spectrum beta-lactamase TEM-132,Bla_ESBL
983,205,TEM-1D_Bla,TEM-133,no,no,Bla___TEM-133___AY528425______1-861___861,TEM-133,Bla,AY528425,1-861,861,class A extended-spectrum beta-lactamase TEM-133,Bla_ESBL
984,205,TEM-1D_Bla,TEM-134,no,no,Bla___TEM-134___AY574271___1-861___861,TEM-134,Bla,AY574271,1-861,861,class A extended-spectrum beta-lactamase TEM-134,Bla_ESBL
985,205,TEM-1D_Bla,TEM-135,no,no,Bla___TEM-135___JQ060998___1-861___861,TEM-135,Bla,JQ060998,1-861,861,class A broad-spectrum beta-lactamase TEM-135,Bla_broad
986,205,TEM-1D_Bla,TEM-136,no,no,Bla___TEM-136___AY826417___1-861___861,TEM-136,Bla,AY826417,1-861,861,class A extended-spectrum beta-lactamase TEM-136,Bla_ESBL
987,205,TEM-1D_Bla,TEM-137,no,no,Bla___TEM-137___AM286274___1-861___861,TEM-137,Bla,AM286274,1-861,861,class A extended-spectrum beta-lactamase TEM-137,Bla_ESBL
988,205,TEM-1D_Bla,TEM-138,no,no,Bla___TEM-138___AY853593___215-1075___861,TEM-138,Bla,AY853593,215-1075,861,class A extended-spectrum beta-lactamase TEM-138,Bla_ESBL
989,205,TEM-1D_Bla,TEM-139,no,no,Bla___TEM-139___DQ072853___1-861___861,TEM-139,Bla,DQ072853,1-861,861,class A extended-spectrum beta-lactamase TEM-139,Bla_ESBL
990,205,TEM-1D_Bla,TEM-141,no,no,Bla___TEM-141___AY956335___39-899___861,TEM-141,Bla,AY956335,39-899,861,class A broad-spectrum beta-lactamase TEM-141,Bla_broad
991,205,TEM-1D_Bla,TEM-142,no,no,Bla___TEM-142___DQ388882___1-861___861,TEM-142,Bla,DQ388882,1-861,861,class A beta-lactamase TEM-142,Bla
992,205,TEM-1D_Bla,TEM-143,no,no,Bla___TEM-143___DQ075245___218-1078___861,TEM-143,Bla,DQ075245,218-1078,861,class A extended-spectrum beta-lactamase TEM-143,Bla_ESBL
993,205,TEM-1D_Bla,TEM-144,no,no,Bla___TEM-144___DQ256080___215-1075___861,TEM-144,Bla,DQ256080,215-1075,861,class A extended-spectrum beta-lactamase TEM-144,Bla_ESBL
994,205,TEM-1D_Bla,TEM-145,no,no,Bla___TEM-145___DQ105528___1-861___861,TEM-145,Bla,DQ105528,1-861,861,inhibitor-resistant class A broad-spectrum beta-lactamase TEM-145,Bla_broad_inhR
995,205,TEM-1D_Bla,TEM-146,no,no,Bla___TEM-146___DQ105529___1-861___861,TEM-146,Bla,DQ105529,1-861,861,class A beta-lactamase TEM-146,Bla
996,205,TEM-1D_Bla,TEM-147,no,no,Bla___TEM-147___DQ279850___1-861___861,TEM-147,Bla,DQ279850,1-861,861,class A extended-spectrum beta-lactamase TEM-147,Bla_ESBL
997,205,TEM-1D_Bla,TEM-148,no,no,Bla___TEM-148___AM087454___209-1069___861,TEM-148,Bla,AM087454,209-1069,861,class A beta-lactamase TEM-148,Bla
998,205,TEM-1D_Bla,TEM-149,no,no,Bla___TEM-149___DQ369751___1-861___861,TEM-149,Bla,DQ369751,1-861,861,class A extended-spectrum beta-lactamase TEM-149,Bla_ESBL
999,205,TEM-1D_Bla,TEM-150,no,no,Bla___TEM-150___AM183304___209-1069___861,TEM-150,Bla,AM183304,209-1069,861,class A beta-lactamase TEM-150,Bla
1000,205,TEM-1D_Bla,TEM-151,no,no,Bla___TEM-151___DQ834729___206-1066___861,TEM-151,Bla,DQ834729,206-1066,861,inhibitor-resistant class A extended-spectrum beta-lactamase TEM-151,Bla_ESBL_inhR
1001,205,TEM-1D_Bla,TEM-152,no,no,Bla___TEM-152___DQ834728___206-1066___861,TEM-152,Bla,DQ834728,206-1066,861,inhibitor-resistant class A extended-spectrum beta-lactamase TEM-152,Bla_ESBL_inhR
1002,205,TEM-1D_Bla,TEM-153,no,no,Bla___TEM-153___KC149518___1-861___861,TEM-153,Bla,KC149518,1-861,861,class A extended-spectrum beta-lactamase TEM-153,Bla_ESBL
1003,205,TEM-1D_Bla,TEM-154,no,no,Bla___TEM-154___FJ807656___1-861___861,TEM-154,Bla,FJ807656,1-861,861,inhibitor-resistant class A extended-spectrum beta-lactamase TEM-154,Bla_ESBL_inhR
1004,205,TEM-1D_Bla,TEM-155,no,no,Bla___TEM-155___DQ679961___115-975___861,TEM-155,Bla,DQ679961,115-975,861,class A extended-spectrum beta-lactamase TEM-155,Bla_ESBL
1005,205,TEM-1D_Bla,TEM-156,no,no,Bla___TEM-156___AM115459___209-1069___861,TEM-156,Bla,AM115459,209-1069,861,class A beta-lactamase TEM-156,Bla
1006,205,TEM-1D_Bla,TEM-157,no,no,Bla___TEM-157___DQ909059___1-861___861,TEM-157,Bla,DQ909059,1-861,861,class A extended-spectrum beta-lactamase TEM-157,Bla_ESBL
1007,205,TEM-1D_Bla,TEM-158,no,no,Bla___TEM-158___EF534736___214-1074___861,TEM-158,Bla,EF534736,214-1074,861,inhibitor-resistant class A extended-spectrum beta-lactamase TEM-158,Bla_ESBL_inhR
1008,205,TEM-1D_Bla,TEM-159,no,no,Bla___TEM-159___EF136376___1-861___861,TEM-159,Bla,EF136376,1-861,861,inhibitor-resistant class A broad-spectrum beta-lactamase TEM-159,Bla_broad_inhR
1009,205,TEM-1D_Bla,TEM-160,no,no,Bla___TEM-160___EF136377___1-861___861,TEM-160,Bla,EF136377,1-861,861,inhibitor-resistant class A broad-spectrum beta-lactamase TEM-160,Bla_broad_inhR
1010,205,TEM-1D_Bla,TEM-162,no,no,Bla___TEM-162___EF468463___67-927___861,TEM-162,Bla,EF468463,67-927,861,class A beta-lactamase TEM-162,Bla
1011,205,TEM-1D_Bla,TEM-163,no,no,Bla___TEM-163___EU815939___1-861___861,TEM-163,Bla,EU815939,1-861,861,inhibitor-resistant class A broad-spectrum beta-lactamase TEM-163,Bla_broad_inhR
1012,205,TEM-1D_Bla,TEM-164,no,no,Bla___TEM-164___EU274580___215-1075___861,TEM-164,Bla,EU274580,215-1075,861,class A extended-spectrum beta-lactamase TEM-164,Bla_ESBL
1013,205,TEM-1D_Bla,TEM-166,no,no,Bla___TEM-166___FJ197316___1-861___861,TEM-166,Bla,FJ197316,1-861,861,class A beta-lactamase TEM-166,Bla
1014,205,TEM-1D_Bla,TEM-167,no,no,Bla___TEM-167___FJ360884___214-1074___861,TEM-167,Bla,FJ360884,214-1074,861,class A extended-spectrum beta-lactamase TEM-167,Bla_ESBL
1015,205,TEM-1D_Bla,TEM-168,no,no,Bla___TEM-168___FJ919776___209-1069___861,TEM-168,Bla,FJ919776,209-1069,861,class A extended-spectrum beta-lactamase TEM-168,Bla_ESBL
1016,205,TEM-1D_Bla,TEM-169,no,no,Bla___TEM-169___FJ873740___1-858___858,TEM-169,Bla,FJ873740,1-858,858,class A extended-spectrum beta-lactamase TEM-169,Bla_ESBL
1017,205,TEM-1D_Bla,TEM-171,no,no,Bla___TEM-171___GQ149347___5270-6030___861,TEM-171,Bla,GQ149347,5270-6030,861,class A beta-lactamase TEM-171,Bla
1018,205,TEM-1D_Bla,TEM-176,no,no,Bla___TEM-176___GU550123___145-1005___861,TEM-176,Bla,GU550123,145-1005,861,class A beta-lactamase TEM-176,Bla
1019,205,TEM-1D_Bla,TEM-177,no,no,Bla___TEM-177___FN652295___1-861___861,TEM-177,Bla,FN652295,1-861,861,class A extended-spectrum beta-lactamase TEM-177,Bla_ESBL
1020,205,TEM-1D_Bla,TEM-178,no,no,Bla___TEM-178___X97254___154-1011___858,TEM-178,Bla,X97254,154-1011,858,inhibitor-resistant class A extended-spectrum beta-lactamase TEM-178,Bla_ESBL_inhR
1021,205,TEM-1D_Bla,TEM-182,no,no,Bla___TEM-182___HQ317449___1-861___861,TEM-182,Bla,HQ317449,1-861,861,inhibitor-resistant class A broad-spectrum beta-lactamase TEM-182,Bla_broad_inhR
1022,205,TEM-1D_Bla,TEM-183,no,no,Bla___TEM-183___HQ529916___111-971___861,TEM-183,Bla,HQ529916,111-971,861,class A broad-spectrum beta-lactamase TEM-183,Bla_broad
1023,205,TEM-1D_Bla,TEM-185,no,no,Bla___TEM-185___JF795538___1-861___861,TEM-185,Bla,JF795538,1-861,861,inhibitor-resistant class A broad-spectrum beta-lactamase TEM-185,Bla_broad_inhR
1024,205,TEM-1D_Bla,TEM-186,no,no,Bla___TEM-186___JN227084___309-1169___861,TEM-186,Bla,JN227084,309-1169,861,class A broad-spectrum beta-lactamase TEM-186,Bla_broad
1025,205,TEM-1D_Bla,TEM-187,no,no,Bla___TEM-187___HM246246___212-1069___858,TEM-187,Bla,HM246246,212-1069,858,class A extended-spectrum beta-lactamase TEM-187,Bla_ESBL
1026,205,TEM-1D_Bla,TEM-188,no,no,Bla___TEM-188___JN211012___214-1074___861,TEM-188,Bla,JN211012,214-1074,861,class A extended-spectrum beta-lactamase TEM-188,Bla_ESBL
1027,205,TEM-1D_Bla,TEM-189,no,no,Bla___TEM-189___JN254627___1-861___861,TEM-189,Bla,JN254627,1-861,861,class A beta-lactamase TEM-189,Bla
1028,205,TEM-1D_Bla,TEM-190,no,no,Bla___TEM-190___JN416112___1-861___861,TEM-190,Bla,JN416112,1-861,861,class A beta-lactamase TEM-190,Bla
1029,205,TEM-1D_Bla,TEM-191,no,no,Bla___TEM-191___JF949916___1-757___757,TEM-191,Bla,JF949916,1-757,757,class A beta-lactamase TEM-191,Bla
1030,205,TEM-1D_Bla,TEM-192,no,no,Bla___TEM-192___JF949915___1-754___754,TEM-192,Bla,JF949915,1-754,754,class A beta-lactamase TEM-192,Bla
1031,205,TEM-1D_Bla,TEM-193,no,no,Bla___TEM-193___JN935135___1-861___861,TEM-193,Bla,JN935135,1-861,861,class A beta-lactamase TEM-193,Bla
1032,205,TEM-1D_Bla,TEM-194,no,no,Bla___TEM-194___JN935136___1-861___861,TEM-194,Bla,JN935136,1-861,861,class A beta-lactamase TEM-194,Bla
1033,205,TEM-1D_Bla,TEM-195,no,no,Bla___TEM-195___JN935137___1-861___861,TEM-195,Bla,JN935137,1-861,861,class A beta-lactamase TEM-195,Bla
1034,205,TEM-1D_Bla,TEM-197,no,no,Bla___TEM-197___HQ877606___1-861___861,TEM-197,Bla,HQ877606,1-861,861,class A extended-spectrum beta-lactamase TEM-197,Bla_ESBL
1035,205,TEM-1D_Bla,TEM-198,no,no,Bla___TEM-198___AB700703___162-1022___861,TEM-198,Bla,AB700703,162-1022,861,class A beta-lactamase TEM-198,Bla
1036,205,TEM-1D_Bla,TEM-199,no,no,Bla___TEM-199___JX050178___1-853___853,TEM-199,Bla,JX050178,1-853,853,class A beta-lactamase TEM-199,Bla
1037,205,TEM-1D_Bla,TEM-201,no,no,Bla___TEM-201___JX310327___1-861___861,TEM-201,Bla,JX310327,1-861,861,class A beta-lactamase TEM-201,Bla
1039,207,OXA-62_Bla,OXA-62,no,yes,Bla___OXA-62___AY423074___1-858___858,OXA-62,Bla,AY423074,1-858,858,carbapenem-hydrolyzing class D beta-lactamase OXA-62,Bla_Carb
1041,209,ACI-1_Bla,ACI-1,yes,no,Bla___ACI-1___AJ007350___240-1094___855,ACI-1,Bla,AJ007350,240-1094,855,NA,NA
1063,123,BlaA1_Bla,BlaA1,no,no,Bla___BlaA1___NC_010410___1803480-1804499___1020,BlaA1,Bla,NC_010410,1803480-1804499,1020,NA,NA
1070,128,cfxA_Bla,cfxA,yes,no,Bla___cfxA___U38243___150-1115___966,cfxA,Bla,U38243,150-1115,966,NA,NA
1071,128,cfxA_Bla,cfxA2,yes,no,Bla___cfxA2___AF504910___1-966___966,cfxA2,Bla,AF504910,1-966,966,NA,NA
1072,128,cfxA_Bla,cfxA3,yes,no,Bla___cfxA3___U75371___8234-9199___966,cfxA3,Bla,U75371,8234-9199,966,NA,NA
1073,128,cfxA_Bla,cfxA4,yes,no,Bla___cfxA4___AY769933___1-966___966,cfxA4,Bla,AY769933,1-966,966,NA,NA
1074,128,cfxA_Bla,cfxA5,yes,no,Bla___cfxA5___AY769934___28-993___966,cfxA5,Bla,AY769934,28-993,966,NA,NA
1075,128,cfxA_Bla,cfxA6,yes,no,Bla___cfxA6___GQ342996___798-1793___966,cfxA6,Bla,GQ342996,798-1793,966,NA,NA
1097,318,IMP-1_Bla,IMP-1,no,no,Bla___IMP-1___HM036079___114-854___741,IMP-1,Bla,HM036079,114-854,741,carbapenem-hydrolyzing metallo-beta-lactamase IMP-1,Bla_Carb
1098,318,IMP-1_Bla,IMP-2,no,no,Bla___IMP-2___AB182996___1-741___741,IMP-2,Bla,AB182996,1-741,741,carbapenem-hydrolyzing metallo-beta-lactamase IMP-2,Bla_Carb
1099,318,IMP-1_Bla,IMP-3,no,no,Bla___IMP-3___AB010417___1-741___741,IMP-3,Bla,AB010417,1-741,741,carbapenem-hydrolyzing metallo-beta-lactamase IMP-3,Bla_Carb
1100,318,IMP-1_Bla,IMP-4,no,no,Bla___IMP-4___DQ307573___3-743___741,IMP-4,Bla,DQ307573,3-743,741,carbapenem-hydrolyzing metallo-beta-lactamase IMP-4,Bla_Carb
1101,318,IMP-1_Bla,IMP-5,no,no,Bla___IMP-5___AF290912___1-741___741,IMP-5,Bla,AF290912,1-741,741,carbapenem-hydrolyzing metallo-beta-lactamase IMP-5,Bla_Carb
1102,318,IMP-1_Bla,IMP-6,no,no,Bla___IMP-6___AB616660___1813-2553___741,IMP-6,Bla,AB616660,1813-2553,741,carbapenem-hydrolyzing metallo-beta-lactamase IMP-6,Bla_Carb
1103,318,IMP-1_Bla,IMP-7,no,no,Bla___IMP-7___AY625685___1-741___741,IMP-7,Bla,AY625685,1-741,741,carbapenem-hydrolyzing metallo-beta-lactamase IMP-7,Bla_Carb
1104,318,IMP-1_Bla,IMP-8,no,no,Bla___IMP-8___HQ651093___3019-3759___741,IMP-8,Bla,HQ651093,3019-3759,741,carbapenem-hydrolyzing metallo-beta-lactamase IMP-8,Bla_Carb
1105,318,IMP-1_Bla,IMP-9,no,no,Bla___IMP-9___HM106459___3-740___738,IMP-9,Bla,HM106459,3-740,738,carbapenem-hydrolyzing metallo-beta-lactamase IMP-9,Bla_Carb
1106,318,IMP-1_Bla,IMP-10,no,no,Bla___IMP-10___AB074433___156-896___741,IMP-10,Bla,AB074433,156-896,741,carbapenem-hydrolyzing metallo-beta-lactamase IMP-10,Bla_Carb
1107,318,IMP-1_Bla,IMP-11,no,no,Bla___IMP-11___AB074436___17-754___738,IMP-11,Bla,AB074436,17-754,738,carbapenem-hydrolyzing metallo-beta-lactamase IMP-11,Bla_Carb
1108,318,IMP-1_Bla,IMP-13,no,no,Bla___IMP-13___JN091097___261-1001___741,IMP-13,Bla,JN091097,261-1001,741,carbapenem-hydrolyzing metallo-beta-lactamase IMP-13,Bla_Carb
1109,318,IMP-1_Bla,IMP-14,no,no,Bla___IMP-14___AY553332___114-854___741,IMP-14,Bla,AY553332,114-854,741,carbapenem-hydrolyzing metallo-beta-lactamase IMP-14,Bla_Carb
1110,318,IMP-1_Bla,IMP-15,no,no,Bla___IMP-15___AY553333___114-854___741,IMP-15,Bla,AY553333,114-854,741,carbapenem-hydrolyzing metallo-beta-lactamase IMP-15,Bla_Carb
1111,318,IMP-1_Bla,IMP-16,no,no,Bla___IMP-16___AJ584652___1044-1784___741,IMP-16,Bla,AJ584652,1044-1784,741,carbapenem-hydrolyzing metallo-beta-lactamase IMP-16,Bla_Carb
1112,318,IMP-1_Bla,IMP-18,no,no,Bla___IMP-18___AB587676___1366-2106___741,IMP-18,Bla,AB587676,1366-2106,741,carbapenem-hydrolyzing metallo-beta-lactamase IMP-18,Bla_Carb
1113,318,IMP-1_Bla,IMP-19,no,no,Bla___IMP-19___AB201265___1-741___741,IMP-19,Bla,AB201265,1-741,741,carbapenem-hydrolyzing metallo-beta-lactamase IMP-19,Bla_Carb
1114,318,IMP-1_Bla,IMP-20,no,no,Bla___IMP-20___AB196988___1-741___741,IMP-20,Bla,AB196988,1-741,741,carbapenem-hydrolyzing metallo-beta-lactamase IMP-20,Bla_Carb
1115,318,IMP-1_Bla,IMP-21,no,no,Bla___IMP-21___AB204557___1-738___738,IMP-21,Bla,AB204557,1-738,738,carbapenem-hydrolyzing metallo-beta-lactamase IMP-21,Bla_Carb
1116,318,IMP-1_Bla,IMP-22,no,no,Bla___IMP-22___FM876313___116-856___741,IMP-22,Bla,FM876313,116-856,741,carbapenem-hydrolyzing metallo-beta-lactamase IMP-22,Bla_Carb
1117,318,IMP-1_Bla,IMP-24,no,no,Bla___IMP-24___EF192154___1-741___741,IMP-24,Bla,EF192154,1-741,741,carbapenem-hydrolyzing metallo-beta-lactamase IMP-24,Bla_Carb
1118,318,IMP-1_Bla,IMP-25,no,no,Bla___IMP-25___EU352796___1-738___738,IMP-25,Bla,EU352796,1-738,738,carbapenem-hydrolyzing metallo-beta-lactamase IMP-25,Bla_Carb
1119,318,IMP-1_Bla,IMP-26,no,no,Bla___IMP-26___GU045307___101-841___741,IMP-26,Bla,GU045307,101-841,741,carbapenem-hydrolyzing metallo-beta-lactamase IMP-26,Bla_Carb
1120,318,IMP-1_Bla,IMP-27,no,no,Bla___IMP-27___JF894248___1-741___741,IMP-27,Bla,JF894248,1-741,741,carbapenem-hydrolyzing metallo-beta-lactamase IMP-27,Bla_Carb
1121,318,IMP-1_Bla,IMP-28,no,no,Bla___IMP-28___HQ263342___1-741___741,IMP-28,Bla,HQ263342,1-741,741,carbapenem-hydrolyzing metallo-beta-lactamase IMP-28,Bla_Carb
1122,318,IMP-1_Bla,IMP-29,no,no,Bla___IMP-29___HQ438058___1-741___741,IMP-29,Bla,HQ438058,1-741,741,carbapenem-hydrolyzing metallo-beta-lactamase IMP-29,Bla_Carb
1123,318,IMP-1_Bla,IMP-30,no,no,Bla___IMP-30___HQ875573___1-741___741,IMP-30,Bla,HQ875573,1-741,741,carbapenem-hydrolyzing metallo-beta-lactamase IMP-30,Bla_Carb
1124,318,IMP-1_Bla,IMP-32,no,no,Bla___IMP-32___JQ002629___114-854___741,IMP-32,Bla,JQ002629,114-854,741,carbapenem-hydrolyzing metallo-beta-lactamase IMP-32,Bla_Carb
1125,318,IMP-1_Bla,IMP-33,no,no,Bla___IMP-33___JN848782___1-741___741,IMP-33,Bla,JN848782,1-741,741,carbapenem-hydrolyzing metallo-beta-lactamase IMP-33,Bla_Carb
1126,318,IMP-1_Bla,IMP-34,no,no,Bla___IMP-34___AB715422___1696-2436___741,IMP-34,Bla,AB715422,1696-2436,741,NA,NA
1127,318,IMP-1_Bla,IMP-35,no,no,Bla___IMP-35___JF816544___1-741___741,IMP-35,Bla,JF816544,1-741,741,carbapenem-hydrolyzing metallo-beta-lactamase IMP-35,Bla_Carb
1128,318,IMP-1_Bla,IMP-37,no,no,Bla___IMP-37___JX131372___97-843___747,IMP-37,Bla,JX131372,97-843,747,carbapenem-hydrolyzing metallo-beta-lactamase IMP-37,Bla_Carb
1129,318,IMP-1_Bla,IMP-38,no,no,Bla___IMP-38___HQ875573___1-741___741,IMP-38,Bla,HQ875573,1-741,741,carbapenem-hydrolyzing metallo-beta-lactamase IMP-38,Bla_Carb
1130,318,IMP-1_Bla,IMP-39,no,no,Bla___IMP-39___D50438___1195-1935___741,IMP-39,Bla,D50438,1195-1935,741,NA,NA
1131,318,IMP-1_Bla,IMP-40,no,no,Bla___IMP-40___AB753457___1-741___741,IMP-40,Bla,AB753457,1-741,741,carbapenem-hydrolyzing metallo-beta-lactamase IMP-40,Bla_Carb
